APO_AB_1	APO_AB_2	APO_AB_3	APO_AB_4	APO_AB_5	APO_AB_6	APO_Aip_3D_1	APO_Aip_3D_2	APO_Aip_3D_3	APO_Aip_3D_4	APO_Aip_3D_5	APO_Aip_3D_6	APO_Aip_7D_1	APO_Aip_7D_2	APO_Aip_7D_3	APO_Aip_7D_4	APO_Aip_7D_5	APO_Aip_7D_6	APO_CA_3D_1	APO_CA_3D_2	APO_CA_3D_3	APO_CA_3D_4	APO_CA_3D_5	APO_CA_3D_6	APO_CA_7D_1	APO_CA_7D_2	APO_CA_7D_3	APO_CA_7D_4	APO_CA_7D_5	APO_CA_7D_6	APO_CB_3D_1	APO_CB_3D_2	APO_CB_3D_3	APO_CB_3D_4	APO_CB_3D_5	APO_CB_3D_6	APO_CB_7D_1	APO_CB_7D_2	APO_CB_7D_3	APO_CB_7D_4	APO_CB_7D_5	APO_CB_7D_6	APO_C_1	APO_C_2	APO_C_3	APO_C_4	APO_C_5	APO_C_6	APO_water	Inoc_A	Inoc_APO	Inoc_B	Inoc_SYM	SYM_AB_1	SYM_AB_2	SYM_AB_3	SYM_AB_4	SYM_AB_5	SYM_AB_6	SYM_Aip_3D_1	SYM_Aip_3D_2	SYM_Aip_3D_3	SYM_Aip_3D_4	SYM_Aip_3D_5	SYM_Aip_3D_6	SYM_Aip_7D_1	SYM_Aip_7D_2	SYM_Aip_7D_3	SYM_Aip_7D_4	SYM_Aip_7D_5	SYM_Aip_7D_6	SYM_CA_3D_1	SYM_CA_3D_2	SYM_CA_3D_3	SYM_CA_3D_4	SYM_CA_3D_5	SYM_CA_3D_6	SYM_CA_7D_1	SYM_CA_7D_2	SYM_CA_7D_3	SYM_CA_7D_4	SYM_CA_7D_5	SYM_CA_7D_6	SYM_CB_3D_1	SYM_CB_3D_2	SYM_CB_3D_3	SYM_CB_3D_4	SYM_CB_3D_5	SYM_CB_3D_6	SYM_CB_7D_1	SYM_CB_7D_2	SYM_CB_7D_3	SYM_CB_7D_4	SYM_CB_7D_5	SYM_CB_7D_6	SYM_C_1	SYM_C_2	SYM_C_3	SYM_C_4	SYM_C_5	SYM_C_6	SYM_water	Slurry_A	Slurry_APO	Slurry_Sym
Otu0001	32	40	46	11	44	128	301	270	24	348	781	506	699	703	825	319	1116	448	108	516	670	20	146	253	636	352	985	266	389	876	503	180	340	233	191	86	469	336	315	277	336	317	0	1	0	0	4	0	1002	13916	78651	22127	64984	454	21	35	14	5	0	133	117	536	128	82	558	660	120	51	115	212	264	244	301	213	197	457	436	471	36	45	18	21	313	308	0	9	7	243	2	370	440	434	56	136	420	25	768	11	701	452	876	249	1267	25897	31464
Otu0002	4	0	10	11	1	13	1160	1626	236	4140	3844	3591	3761	3038	3507	2912	2102	4948	392	1523	4149	1230	2425	2775	1893	4720	2230	2744	2338	2002	2779	1904	2305	3299	2425	1438	2533	5441	3292	1906	3748	3447	0	0	0	0	0	0	0	0	2523	4888	12694	576	0	25	18	2	4	1719	846	1087	2008	2513	2402	2536	7503	6736	4570	4468	2552	1164	2296	1209	3411	1621	2356	3032	1328	3628	933	323	6512	2577	402	1202	431	2726	383	1832	2347	3969	2901	1494	2171	362	1186	3625	677	2436	858	6	175	2411	3331
Otu0003	27	19	19	21	26	43	257	212	24	277	613	395	510	553	607	241	763	305	98	401	557	18	106	178	426	241	756	197	256	685	372	113	271	150	145	49	314	191	245	202	226	211	0	0	3	0	2	1	605	11604	66770	17886	52943	320	6	25	10	1	0	127	99	514	89	62	443	492	75	45	75	144	223	255	255	171	153	416	370	326	2	1	0	18	204	256	5	2	0	188	1	262	392	370	46	73	327	25	571	0	557	366	724	163	745	14304	19203
Otu0004	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	15	0	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141445	8
Otu0005	3618	4841	3152	2830	3017	2766	0	0	0	0	2	0	0	0	0	0	1	0	0	5	0	0	0	3	0	0	1	0	1	0	0	0	3	2	0	0	2	0	0	0	0	0	0	3	0	1	1	0	50443	198	4895	752	2809	1709	1647	1427	2538	2190	1487	0	0	2	1	0	4	0	0	0	0	0	1	1	0	0	1	0	0	0	4	0	0	0	4	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	240	292	7630	1380
Otu0006	0	0	0	0	0	0	441	508	56	997	1294	1023	1308	1249	1592	669	1154	1049	187	642	1307	64	362	462	868	888	943	597	643	984	982	373	552	571	402	200	873	908	650	591	898	705	0	0	0	0	7	0	1	4317	4836	5901	29538	0	0	0	0	0	0	293	162	515	251	238	734	899	416	246	385	595	631	428	575	306	462	611	685	978	98	212	37	30	693	586	0	25	18	516	0	495	733	992	151	213	648	142	941	94	986	1080	882	0	0	0	0
Otu0007	26	8	1	0	0	7	315	462	46	1330	731	818	491	881	1457	239	654	1100	84	117	836	110	487	86	92	136	67	77	69	92	407	557	274	324	358	61	69	405	149	88	163	116	792	876	1912	481	1381	233	366	423	552	890	35394	833	15	69	0	3	65	74	10	13	25	12	31	157	8	230	121	368	158	88	189	189	393	181	333	393	99	400	31	18	346	535	0	148	79	386	49	122	101	167	154	112	187	2091	1530	3901	1646	1800	1101	6	10	0	11564
Otu0008	0	0	3	0	0	6	0	2	0	0	2	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	0	0	4	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	48584	2	11078	2326	6293	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	267	12831	1605
Otu0009	6423	8477	6286	4998	5099	5080	2	1	0	5	3	0	1	0	0	0	2	2	2	4	2	0	0	2	0	2	0	2	0	6	0	0	2	0	1	0	1	0	1	0	3	0	0	0	9	6	9	0	85	0	1354	235	569	4228	3738	3229	5017	5164	2340	2	2	5	0	4	17	0	4	3	2	0	0	0	1	0	6	0	9	1	3	0	8	3	7	3	2	3	5	16	2	0	0	0	4	1	4	0	0	1	0	0	0	9	673	17298	2276
Otu0010	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77270	1	0
